African American,Asian,City,Cost of Living Index,Hispanic,Median Age,Native American,Population,State,White,State Religous Index
10379.0,3279.0,Midland,100.6,58677.0,32.1,1922.0,132950.0,Texas,115958.0,64
248149.0,24832.0,Milwaukee,94.8,110335.0,31.6,10813.0,600154.0,Wisconsin,297038.0,45
1149.0,2292.0,Missoula,103.2,2474.0,34.7,3618.0,71024.0,Montana,66504.0,48
96397.0,5518.0,Mobile,89.6,5229.0,38.0,2816.0,194305.0,Alabama,93755.0,77
9869.0,19417.0,Modesto,111.7,85141.0,35.2,4388.0,211257.0,California,166618.0,49
121360.0,6518.0,Montgomery,88.7,6648.0,35.4,1277.0,200586.0,Alabama,73545.0,77
10482.0,,Muncie,84.9,2499.0,27.4,203.0,69701.0,Indiana,59962.0,54
675.0,3593.0,Napa,150.3,33229.0,37.2,1751.0,80429.0,California,57837.0,49
188844.0,27355.0,Nashville,102.3,67526.0,34.1,5474.0,654596.0,Tennessee,432447.0,73
43356.0,7966.0,New Haven,110.9,43563.0,29.9,2205.0,130310.0,Connecticut,56251.0,43
234645.0,13349.0,New Orleans,94.3,21850.0,35.9,2496.0,389617.0,Louisiana,140314.0,71
2192248.0,1304564.0,New York,131.0,2485125.0,36.0,90923.0,8550405.0,New York,3835726.0,46
7647.0,2252.0,Odessa,96.3,63586.0,31.2,1134.0,118980.0,Texas,106944.0,64
2620.0,1911.0,Ogden,100.9,28275.0,31.3,1717.0,85450.0,Utah,74960.0,64
64223.0,19105.0,Omaha,93.7,63516.0,34.2,6318.0,443887.0,Nebraska,353417.0,54
68081.0,11124.0,Orlando,102.9,89306.0,33.1,2374.0,270917.0,Florida,179121.0,54
2778.0,3182.0,Oshkosh,90.4,1972.0,33.0,237.0,66557.0,Wisconsin,60210.0,45
36333.0,6989.0,Peoria,87.6,6874.0,33.1,1343.0,118661.0,Illinois,77074.0,51
691186.0,122721.0,Philadelphia,105.3,219038.0,34.1,17500.0,1567442.0,Pennsylvania,688130.0,53
132939.0,66403.0,Phoenix,105.8,669914.0,33.8,41748.0,1563001.0,Arizona,1161455.0,53
82248.0,21227.0,Pittsburgh,94.5,9266.0,32.9,2689.0,304385.0,Pennsylvania,208863.0,53
5750.0,3696.0,Portland,114.8,2031.0,40.3,662.0,66872.0,Maine,59722.0,34
45914.0,64386.0,Portland,118.7,61064.0,36.7,15314.0,632187.0,Oregon,524258.0,48
30638.0,13432.0,Providence,111.6,77968.0,29.9,4171.0,179204.0,Rhode Island,97885.0,49
1062.0,4104.0,Provo,102.3,16668.0,23.6,1916.0,115258.0,Utah,108471.0,64
4107.0,2468.0,Pueblo,93.2,57579.0,37.6,7306.0,109419.0,Colorado,86097.0,47
20014.0,1175.0,Racine,95.6,18215.0,33.7,1371.0,77737.0,Wisconsin,52445.0,45
138242.0,24865.0,Raleigh,101.6,51786.0,32.8,3955.0,451949.0,North Carolina,275892.0,65
20821.0,903.0,Reading,97.6,57032.0,29.4,9671.0,87873.0,Pennsylvania,64401.0,53
2112.0,5271.0,Redding,107.1,9143.0,38.8,4352.0,91579.0,California,81244.0,49
9427.0,20681.0,Reno,108.3,59902.0,35.7,3872.0,241443.0,Nevada,197335.0,49
109722.0,6626.0,Richmond,100.4,14259.0,33.6,4902.0,220289.0,Virginia,104568.0,61
26147.0,27675.0,Riverside,116.8,160697.0,31.4,5338.0,322423.0,California,225157.0,49
30920.0,3237.0,Roanoke,95.0,6091.0,36.9,594.0,99897.0,Virginia,68761.0,61
9425.0,9839.0,Rochester,99.5,6617.0,35.0,1172.0,112216.0,Minnesota,93477.0,49
93072.0,8748.0,Rochester,97.9,38004.0,31.4,4856.0,209808.0,New York,105636.0,46
33122.0,5500.0,Rockford,88.9,28923.0,36.3,2301.0,149346.0,Illinois,107148.0,51
77439.0,105063.0,Sacramento,120.9,150153.0,33.7,10145.0,490715.0,California,268151.0,49
3770.0,6076.0,Salem,105.8,39414.0,35.4,7678.0,164543.0,Oregon,148650.0,48
3391.0,11227.0,Salinas,140.1,121196.0,30.4,2855.0,157386.0,California,95283.0,49
6079.0,1658.0,San Angelo,92.3,42494.0,32.8,548.0,100413.0,Texas,86655.0,64
119542.0,53933.0,San Antonio,93.7,937607.0,33.1,20752.0,1469824.0,Texas,1240092.0,64
111650.0,267222.0,San Diego,137.9,425414.0,34.5,16496.0,1394907.0,California,949388.0,49
53270.0,324034.0,San Francisco,183.0,132114.0,38.3,8997.0,864816.0,California,442155.0,49
41721.0,385198.0,San Jose,181.1,331232.0,36.5,13776.0,1026919.0,California,442798.0,49
1284.0,1878.0,Santa Fe,106.7,45884.0,44.1,2960.0,84112.0,New Mexico,75494.0,57
7157.0,13496.0,Santa Rosa,145.3,54578.0,37.9,8859.0,174989.0,California,138506.0,49
82307.0,5366.0,Savannah,98.8,9734.0,30.3,2116.0,145684.0,Georgia,57690.0,66
6256.0,4722.0,Scranton,92.9,11301.0,38.5,,77112.0,Pennsylvania,66875.0,53
61974.0,121507.0,Seattle,129.3,43060.0,35.5,12804.0,684443.0,Washington,511401.0,45
112923.0,4033.0,Shreveport,87.2,5081.0,35.2,1647.0,196994.0,Louisiana,79319.0,71
10904.0,4689.0,Sioux Falls,94.3,9388.0,34.6,4623.0,171530.0,South Dakota,149298.0,59
30005.0,1788.0,South Bend,88.3,16462.0,32.4,411.0,103757.0,Indiana,71391.0,54
10045.0,9059.0,Spokane,99.9,13365.0,36.6,7192.0,213267.0,Washington,193143.0,45
25327.0,3871.0,Springfield,88.3,2738.0,38.8,1602.0,117809.0,Illinois,90935.0,51
35284.0,5606.0,Springfield,107.6,69209.0,31.8,2087.0,154336.0,Massachusetts,97171.0,33
10026.0,5725.0,Springfield,87.6,7100.0,34.1,2777.0,166798.0,Missouri,151686.0,60
41161.0,76859.0,Stockton,113.8,128216.0,32.5,19834.0,305650.0,California,170878.0,49
46026.0,9386.0,Syracuse,96.6,13368.0,30.3,3606.0,144152.0,New York,88679.0,46
69135.0,10035.0,Tallahassee,98.0,13538.0,26.2,1368.0,189894.0,Florida,112800.0,54
92156.0,15814.0,Tampa,102.6,95154.0,35.3,2915.0,369028.0,Florida,257552.0,54
331.0,,The Villages,101.9,1066.0,70.5,,72590.0,Florida,72211.0,54
85552.0,6850.0,Toledo,88.8,23614.0,36.1,3942.0,279778.0,Ohio,188325.0,58
15030.0,3127.0,Topeka,87.0,18640.0,37.1,4804.0,127257.0,Kansas,108035.0,55
43471.0,1437.0,Trenton,107.9,30613.0,33.3,98.0,84231.0,New Jersey,37683.0,55
33900.0,24689.0,Tucson,99.7,231025.0,33.6,24409.0,531674.0,Arizona,404342.0,53
72643.0,16318.0,Tulsa,88.7,61217.0,35.0,42129.0,403091.0,Oklahoma,279127.0,66
42331.0,2733.0,Tuscaloosa,92.9,2475.0,29.1,261.0,98338.0,Alabama,52603.0,77
26156.0,2543.0,Tyler,93.0,21536.0,33.9,1057.0,103705.0,Texas,72728.0,64
26778.0,34753.0,Vallejo,128.0,28977.0,37.8,1671.0,121269.0,California,56169.0,49
99948.0,38715.0,Virginia Beach,101.1,36309.0,35.4,4590.0,452745.0,Virginia,324924.0,61
2525.0,11523.0,Visalia,104.3,63482.0,32.6,2113.0,130094.0,California,107322.0,49
29883.0,4230.0,Waco,90.4,40585.0,29.3,794.0,132342.0,Texas,96958.0,64
29307.0,2723.0,Warner Robins,91.9,5378.0,31.4,1309.0,74002.0,Georgia,42306.0,66
328786.0,35072.0,Washington,123.8,71129.0,33.8,6130.0,672228.0,District of Columbia,285402.0,53
11815.0,1636.0,Waterloo,88.1,4961.0,37.2,467.0,68457.0,Iowa,51252.0,55
14529.0,3688.0,Wichita Falls,86.0,23061.0,34.0,1503.0,104709.0,Texas,82860.0,64
52592.0,25210.0,Wichita,88.0,65162.0,34.6,8791.0,389955.0,Kansas,305910.0,55
23578.0,3152.0,Wilmington,100.2,6811.0,35.5,742.0,115947.0,North Carolina,89270.0,65
27491.0,15932.0,Worcester,114.7,39000.0,34.9,1917.0,184806.0,Massachusetts,131898.0,33
924.0,2248.0,Yakima,97.7,44172.0,34.0,2042.0,93700.0,Washington,79286.0,45
3731.0,1180.0,Yuma,94.6,57054.0,33.4,1228.0,94145.0,Arizona,69691.0,53
11240.0,6549.0,Bloomington,90.4,3461.0,35.1,182.0,78295.0,Illinois,60652.0,51
6752.0,1167.0,Lafayette,89.8,9151.0,33.5,,71170.0,Indiana,63157.0,54
404868.0,512999.0,Los Angeles,143.4,1936732.0,35.0,63758.0,3971896.0,California,2177650.0,49
1237.0,5058.0,Santa Maria,146.6,81551.0,30.1,1575.0,105082.0,California,90403.0,49
24329.0,11013.0,Stamford,125.2,33197.0,35.4,1416.0,128877.0,Connecticut,85620.0,43
17298.0,3519.0,Fort Myers,103.4,17866.0,37.3,,74015.0,Florida,50169.0,54
322570.0,47099.0,Dallas,100.2,549966.0,32.6,17510.0,1300082.0,Texas,839169.0,64
12761.0,3071.0,Davenport,88.3,9131.0,35.2,901.0,102577.0,Iowa,88145.0,55
87331.0,4613.0,Miami,112.8,319942.0,40.4,1571.0,440989.0,Florida,338232.0,54
89996.0,33854.0,Minneapolis,107.5,39981.0,32.4,9238.0,410935.0,Minnesota,277862.0,49
11721.0,5186.0,Melbourne,100.3,6060.0,43.4,251.0,80136.0,Florida,65397.0,54
6058.0,2032.0,Victoria,90.4,34409.0,35.8,,67581.0,Texas,58798.0,64
